Cat,Subcat ,url ,page,,,,
"Azúcar, chocolates y caramelos",Chocolates y bombones,https://www.dia.es/azucar-chocolates-y-caramelos/chocolates-y-bombones/c/L2063,10,,,,
"Azúcar, chocolates y caramelos","Caramelos, chicles y golosinas",https://www.dia.es/azucar-chocolates-y-caramelos/caramelos-chicles-y-golosinas/c/L2064,8,,,,
"Galletas, bollos y cereales",Galletas,https://www.dia.es/galletas-bollos-y-cereales/galletas/c/L2065,7,,,,
"Galletas, bollos y cereales",Galletas saladas,https://www.dia.es/galletas-bollos-y-cereales/galletas-saladas/c/L2066,1,,,,
"Galletas, bollos y cereales",Bollería,https://www.dia.es/galletas-bollos-y-cereales/bolleria/c/L2067,5,,,,
"Galletas, bollos y cereales",Cereales,https://www.dia.es/galletas-bollos-y-cereales/cereales/c/L2068,4,,,,
"Galletas, bollos y cereales",Tortitas,https://www.dia.es/galletas-bollos-y-cereales/tortitas/c/L2216,2,,,,3
"Patatas fritas, encurtidos y frutos secos",Patatas fritas y snacks,https://www.dia.es/patatas-fritas-encurtidos-y-frutos-secos/patatas-fritas-y-snacks/c/L2098,4,,,,
"Patatas fritas, encurtidos y frutos secos",Aceitunas y encurtidos,https://www.dia.es/patatas-fritas-encurtidos-y-frutos-secos/aceitunas-y-encurtidos/c/L2096,4,,,,
"Patatas fritas, encurtidos y frutos secos",Frutos secos,https://www.dia.es/patatas-fritas-encurtidos-y-frutos-secos/frutos-secos/c/L2097,4,,,,
Pizzas y platos preparados,Pizzas,https://www.dia.es/pizzas-y-platos-preparados/pizzas/c/L2101,1,,,,
Pizzas y platos preparados,Precocinados envasados,https://www.dia.es/pizzas-y-platos-preparados/precocinados-envasados/c/L2102,4,,,,
Pizzas y platos preparados,Comida internacional,https://www.dia.es/pizzas-y-platos-preparados/comida-internacional/c/L2103,3,,,,
Pizzas y platos preparados,Tortillas y empanadas,https://www.dia.es/pizzas-y-platos-preparados/tortillas-y-empanadas/c/L2105,1,,,,
Congelados,Helados y hielo,https://www.dia.es/congelados/helados-y-hielo/c/L2130,3,,,,
Congelados,"Pizzas, bases y masas",https://www.dia.es/congelados/pizzas-bases-y-masas/c/L2131,2,,,,
Congelados,Pescado y marisco,https://www.dia.es/congelados/pescado-y-marisco/c/L2132,3,,,,
Congelados,Carne y pollo,https://www.dia.es/congelados/carne-y-pollo/c/L2133,1,,,,
Congelados,"Verduras, hortalizas y salteados",https://www.dia.es/congelados/verduras-hortalizas-y-salteados/c/L2210,2,,,,
Congelados,Patatas fritas,https://www.dia.es/congelados/patatas-fritas/c/L2213,1,,,,
Congelados,Croquetas y rebozados,https://www.dia.es/congelados/croquetas-y-rebozados/c/L2135,1,,,,
Congelados,Churros y postres,https://www.dia.es/congelados/churros-y-postres/c/L2136,1,,,,
Congelados,Lasañas y pasta,https://www.dia.es/congelados/lasanas-y-pasta/c/L2137,1,,,,
"Agua, refrescos y zumos",Agua,https://www.dia.es/agua-refrescos-y-zumos/agua/c/L2107,2,,,,
"Agua, refrescos y zumos",Cola,https://www.dia.es/agua-refrescos-y-zumos/cola/c/L2108,3,,,,
"Agua, refrescos y zumos","Gaseosa, soda",https://www.dia.es/agua-refrescos-y-zumos/gaseosa-soda/c/L2192,1,,,,
"Agua, refrescos y zumos",Naranja,https://www.dia.es/agua-refrescos-y-zumos/naranja/c/L2212,1,,,,
"Agua, refrescos y zumos","Limón, lima limón",https://www.dia.es/agua-refrescos-y-zumos/limon-lima-limon/c/L2109,1,,,,
"Agua, refrescos y zumos","Tés fríos, cafés frios",https://www.dia.es/agua-refrescos-y-zumos/tes-frios-cafes-frios/c/L2111,2,,,,
"Agua, refrescos y zumos",Tónicas,https://www.dia.es/agua-refrescos-y-zumos/tonicas/c/L2112,1,,,,
"Agua, refrescos y zumos",Bebidas energéticas,https://www.dia.es/agua-refrescos-y-zumos/bebidas-energeticas/c/L2217,2,,,,
"Agua, refrescos y zumos",Bebidas isotónicas,https://www.dia.es/agua-refrescos-y-zumos/bebidas-isotonicas/c/L2114,1,,,,
"Agua, refrescos y zumos",Zumos,https://www.dia.es/agua-refrescos-y-zumos/zumos/c/L2113,5,,,,
"Agua, refrescos y zumos",Otras bebidas,https://www.dia.es/agua-refrescos-y-zumos/otras-bebidas/c/L2110,2,,,,
"Cervezas, vinos y bebidas con alcohol",Cervezas,https://www.dia.es/cervezas-vinos-y-bebidas-con-alcohol/cervezas/c/L2115,4,,,,
"Cervezas, vinos y bebidas con alcohol",Cervezas especiales,https://www.dia.es/cervezas-vinos-y-bebidas-con-alcohol/cervezas-especiales/c/L2117,3,,,,
"Cervezas, vinos y bebidas con alcohol",Cervezas con limón,https://www.dia.es/cervezas-vinos-y-bebidas-con-alcohol/cervezas-con-limon/c/L2182,1,,,,
"Cervezas, vinos y bebidas con alcohol",Cervezas sin alcohol,https://www.dia.es/cervezas-vinos-y-bebidas-con-alcohol/cervezas-sin-alcohol/c/L2118,2,,,,
"Cervezas, vinos y bebidas con alcohol",Tinto de verano y sangría,https://www.dia.es/cervezas-vinos-y-bebidas-con-alcohol/tinto-de-verano-y-sangria/c/L2119,1,,,,
"Cervezas, vinos y bebidas con alcohol",Vino tinto,https://www.dia.es/cervezas-vinos-y-bebidas-con-alcohol/vino-tinto/c/L2120,6,,,,
"Cervezas, vinos y bebidas con alcohol",Vino blanco,https://www.dia.es/cervezas-vinos-y-bebidas-con-alcohol/vino-blanco/c/L2121,4,,,,
"Cervezas, vinos y bebidas con alcohol",Cavas y sidra,https://www.dia.es/cervezas-vinos-y-bebidas-con-alcohol/cavas-y-sidra/c/L2122,1,,,,
"Cervezas, vinos y bebidas con alcohol",Vino rosado,https://www.dia.es/cervezas-vinos-y-bebidas-con-alcohol/vino-rosado/c/L2124,1,,,,
"Cervezas, vinos y bebidas con alcohol",Ginebra y vodka,https://www.dia.es/cervezas-vinos-y-bebidas-con-alcohol/ginebra-y-vodka/c/L2125,2,,,,
"Cervezas, vinos y bebidas con alcohol",Ron y whisky,https://www.dia.es/cervezas-vinos-y-bebidas-con-alcohol/ron-y-whisky/c/L2128,2,,,,
"Cervezas, vinos y bebidas con alcohol",Vermouth,https://www.dia.es/cervezas-vinos-y-bebidas-con-alcohol/vermouth/c/L2127,1,,,,
